"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(0  1),0.174087375,0.010625,2,0.174087375,10,6
(0  2),0.34817475,0.01125,2,0.34817475,10,6
(0  3),0.522262125,0.011875,2,0.522262125,10,6
(0  4),0.6963495,0.0125,2,0.6963495,10,7
(0  5),0.870436875,0.013125,2,0.870436875,10,7
(0  6),1.04452425,0.01375,2,1.04452425,10,7
(0  7),1.218611625,0.014375,2,1.218611625,10,7
(0  8),1.392699,0.015,2,1.392699,10,8
(0  9),1.566786375,0.015625,2,1.566786375,10,8
(0  10),1.74087375,0.01625,2,1.74087375,10,8
(0  11),1.914961125,0.016875,2,1.914961125,10,9
(0  12),2.0890485,0.0175,2,2.0890485,10,9
(0  13),2.263135875,0.018125,2,2.263135875,10,9
(0  14),2.43722325,0.01875,2,2.43722325,10,9
(0  15),2.611310625,0.019375,2,2.611310625,10,10
(1  0),16.04908738,0.010625,2,16.04908738,10,32
(1  2),0.174087375,0.010625,2,0.174087375,10,6
(1  3),0.34817475,0.01125,2,0.34817475,10,6
(1  4),0.522262125,0.011875,2,0.522262125,10,6
(1  5),0.6963495,0.0125,2,0.6963495,10,7
(1  6),0.870436875,0.013125,2,0.870436875,10,7
(1  7),1.04452425,0.01375,2,1.04452425,10,7
(1  8),1.218611625,0.014375,2,1.218611625,10,7
(1  9),1.392699,0.015,2,1.392699,10,8
(1  10),1.566786375,0.015625,2,1.566786375,10,8
(1  11),1.74087375,0.01625,2,1.74087375,10,8
(1  12),1.914961125,0.016875,2,1.914961125,10,9
(1  13),2.0890485,0.0175,2,2.0890485,10,9
(1  14),2.263135875,0.018125,2,2.263135875,10,9
(1  15),2.43722325,0.01875,2,2.43722325,10,9
(2  0),16.22317475,0.01125,2,16.22317475,10,32
(2  1),16.04908738,0.010625,2,16.04908738,10,32
(2  3),0.174087375,0.010625,2,0.174087375,10,6
(2  4),0.34817475,0.01125,2,0.34817475,10,6
(2  5),0.522262125,0.011875,2,0.522262125,10,6
(2  6),0.6963495,0.0125,2,0.6963495,10,7
(2  7),0.870436875,0.013125,2,0.870436875,10,7
(2  8),1.04452425,0.01375,2,1.04452425,10,7
(2  9),1.218611625,0.014375,2,1.218611625,10,7
(2  10),1.392699,0.015,2,1.392699,10,8
(2  11),1.566786375,0.015625,2,1.566786375,10,8
(2  12),1.74087375,0.01625,2,1.74087375,10,8
(2  13),1.914961125,0.016875,2,1.914961125,10,9
(2  14),2.0890485,0.0175,2,2.0890485,10,9
(2  15),2.263135875,0.018125,2,2.263135875,10,9
(3  0),16.39726212,0.011875,2,16.39726212,10,33
(3  1),16.22317475,0.01125,2,16.22317475,10,32
(3  2),16.04908738,0.010625,2,16.04908738,10,32
(3  4),0.174087375,0.010625,2,0.174087375,10,6
(3  5),0.34817475,0.01125,2,0.34817475,10,6
(3  6),0.522262125,0.011875,2,0.522262125,10,6
(3  7),0.6963495,0.0125,2,0.6963495,10,7
(3  8),0.870436875,0.013125,2,0.870436875,10,7
(3  9),1.04452425,0.01375,2,1.04452425,10,7
(3  10),1.218611625,0.014375,2,1.218611625,10,7
(3  11),1.392699,0.015,2,1.392699,10,8
(3  12),1.566786375,0.015625,2,1.566786375,10,8
(3  13),1.74087375,0.01625,2,1.74087375,10,8
(3  14),1.914961125,0.016875,2,1.914961125,10,9
(3  15),2.0890485,0.0175,2,2.0890485,10,9
(4  0),16.5713495,0.0125,2,16.5713495,10,33
(4  1),16.39726212,0.011875,2,16.39726212,10,33
(4  2),16.22317475,0.01125,2,16.22317475,10,32
(4  3),16.04908738,0.010625,2,16.04908738,10,32
(4  5),0.174087375,0.010625,2,0.174087375,10,6
(4  6),0.34817475,0.01125,2,0.34817475,10,6
(4  7),0.522262125,0.011875,2,0.522262125,10,6
(4  8),0.6963495,0.0125,2,0.6963495,10,7
(4  9),0.870436875,0.013125,2,0.870436875,10,7
(4  10),1.04452425,0.01375,2,1.04452425,10,7
(4  11),1.218611625,0.014375,2,1.218611625,10,7
(4  12),1.392699,0.015,2,1.392699,10,8
(4  13),1.566786375,0.015625,2,1.566786375,10,8
(4  14),1.74087375,0.01625,2,1.74087375,10,8
(4  15),1.914961125,0.016875,2,1.914961125,10,9
(5  0),16.74543688,0.013125,2,16.74543688,10,33
(5  1),16.5713495,0.0125,2,16.5713495,10,33
(5  2),16.39726212,0.011875,2,16.39726212,10,33
(5  3),16.22317475,0.01125,2,16.22317475,10,32
(5  4),16.04908738,0.010625,2,16.04908738,10,32
(5  6),0.174087375,0.010625,2,0.174087375,10,6
(5  7),0.34817475,0.01125,2,0.34817475,10,6
(5  8),0.522262125,0.011875,2,0.522262125,10,6
(5  9),0.6963495,0.0125,2,0.6963495,10,7
(5  10),0.870436875,0.013125,2,0.870436875,10,7
(5  11),1.04452425,0.01375,2,1.04452425,10,7
(5  12),1.218611625,0.014375,2,1.218611625,10,7
(5  13),1.392699,0.015,2,1.392699,10,8
(5  14),1.566786375,0.015625,2,1.566786375,10,8
(5  15),1.74087375,0.01625,2,1.74087375,10,8
(6  0),16.91952425,0.01375,2,16.91952425,10,34
(6  1),16.74543688,0.013125,2,16.74543688,10,33
(6  2),16.5713495,0.0125,2,16.5713495,10,33
(6  3),16.39726212,0.011875,2,16.39726212,10,33
(6  4),16.22317475,0.01125,2,16.22317475,10,32
(6  5),16.04908738,0.010625,2,16.04908738,10,32
(6  7),0.174087375,0.010625,2,0.174087375,10,6
(6  8),0.34817475,0.01125,2,0.34817475,10,6
(6  9),0.522262125,0.011875,2,0.522262125,10,6
(6  10),0.6963495,0.0125,2,0.6963495,10,7
(6  11),0.870436875,0.013125,2,0.870436875,10,7
(6  12),1.04452425,0.01375,2,1.04452425,10,7
(6  13),1.218611625,0.014375,2,1.218611625,10,7
(6  14),1.392699,0.015,2,1.392699,10,8
(6  15),1.566786375,0.015625,2,1.566786375,10,8
(7  0),17.09361163,0.014375,2,17.09361163,10,34
(7  1),16.91952425,0.01375,2,16.91952425,10,34
(7  2),16.74543688,0.013125,2,16.74543688,10,33
(7  3),16.5713495,0.0125,2,16.5713495,10,33
(7  4),16.39726212,0.011875,2,16.39726212,10,33
(7  5),16.22317475,0.01125,2,16.22317475,10,32
(7  6),16.04908738,0.010625,2,16.04908738,10,32
(7  8),0.174087375,0.010625,2,0.174087375,10,6
(7  9),0.34817475,0.01125,2,0.34817475,10,6
(7  10),0.522262125,0.011875,2,0.522262125,10,6
(7  11),0.6963495,0.0125,2,0.6963495,10,7
(7  12),0.870436875,0.013125,2,0.870436875,10,7
(7  13),1.04452425,0.01375,2,1.04452425,10,7
(7  14),1.218611625,0.014375,2,1.218611625,10,7
(7  15),1.392699,0.015,2,1.392699,10,8
(8  0),17.267699,0.015,2,17.267699,10,34
(8  1),17.09361163,0.014375,2,17.09361163,10,34
(8  2),16.91952425,0.01375,2,16.91952425,10,34
(8  3),16.74543688,0.013125,2,16.74543688,10,33
(8  4),16.5713495,0.0125,2,16.5713495,10,33
(8  5),16.39726212,0.011875,2,16.39726212,10,33
(8  6),16.22317475,0.01125,2,16.22317475,10,32
(8  7),16.04908738,0.010625,2,16.04908738,10,32
(8  9),0.174087375,0.010625,2,0.174087375,10,6
(8  10),0.34817475,0.01125,2,0.34817475,10,6
(8  11),0.522262125,0.011875,2,0.522262125,10,6
(8  12),0.6963495,0.0125,2,0.6963495,10,7
(8  13),0.870436875,0.013125,2,0.870436875,10,7
(8  14),1.04452425,0.01375,2,1.04452425,10,7
(8  15),1.218611625,0.014375,2,1.218611625,10,7
(9  0),17.44178638,0.015625,2,17.44178638,10,34
(9  1),17.267699,0.015,2,17.267699,10,34
(9  2),17.09361163,0.014375,2,17.09361163,10,34
(9  3),16.91952425,0.01375,2,16.91952425,10,34
(9  4),16.74543688,0.013125,2,16.74543688,10,33
(9  5),16.5713495,0.0125,2,16.5713495,10,33
(9  6),16.39726212,0.011875,2,16.39726212,10,33
(9  7),16.22317475,0.01125,2,16.22317475,10,32
(9  8),16.04908738,0.010625,2,16.04908738,10,32
(9  10),0.174087375,0.010625,2,0.174087375,10,6
(9  11),0.34817475,0.01125,2,0.34817475,10,6
(9  12),0.522262125,0.011875,2,0.522262125,10,6
(9  13),0.6963495,0.0125,2,0.6963495,10,7
(9  14),0.870436875,0.013125,2,0.870436875,10,7
(9  15),1.04452425,0.01375,2,1.04452425,10,7
(10  0),17.61587375,0.01625,2,17.61587375,10,35
(10  1),17.44178638,0.015625,2,17.44178638,10,34
(10  2),17.267699,0.015,2,17.267699,10,34
(10  3),17.09361163,0.014375,2,17.09361163,10,34
(10  4),16.91952425,0.01375,2,16.91952425,10,34
(10  5),16.74543688,0.013125,2,16.74543688,10,33
(10  6),16.5713495,0.0125,2,16.5713495,10,33
(10  7),16.39726212,0.011875,2,16.39726212,10,33
(10  8),16.22317475,0.01125,2,16.22317475,10,32
(10  9),16.04908738,0.010625,2,16.04908738,10,32
(10  11),0.174087375,0.010625,2,0.174087375,10,6
(10  12),0.34817475,0.01125,2,0.34817475,10,6
(10  13),0.522262125,0.011875,2,0.522262125,10,6
