"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(0  1),0.125,0.0,2.0,0.125,25,7
(0  2),0.0,0.0,2.0,0.0,10,16
(0  3),0.125,0.0,2.0,0.125,30,6
(0  4),0.0,0.0,2.0,0.0,20,8
(0  5),0.125,0.0,2.0,0.125,15,11
(0  6),0.0,0.0,2.0,0.0,5,32
(0  7),0.125,0.0,2.0,0.125,20,9
(0  8),0.0,0.0,2.0,0.0,20,8
(0  9),0.125,0.0,2.0,0.125,25,7
(0  10),0.0,0.0,2.0,0.0,5,32
(0  11),0.125,0.0,2.0,0.125,30,6
(0  12),0.0,0.0,2.0,0.0,5,32
(0  13),0.125,0.0,2.0,0.125,5,33
(0  14),0.0,0.0,2.0,0.0,20,8
(0  15),0.125,0.0,2.0,0.125,10,17
(1  0),8.392699,0.01,2.0,8.392699,25,7
(1  2),0.125,0.0,2.0,0.125,5,33
(1  3),0.0,0.0,2.0,0.0,20,8
(1  4),0.125,0.0,2.0,0.125,25,7
(1  5),0.0,0.0,2.0,0.0,15,11
(1  6),0.125,0.0,2.0,0.125,5,33
(1  7),0.0,0.0,2.0,0.0,5,32
(1  8),0.125,0.0,2.0,0.125,20,9
(1  9),0.0,0.0,2.0,0.0,30,6
(1  10),0.125,0.0,2.0,0.125,10,17
(1  11),0.0,0.0,2.0,0.0,25,7
(1  12),0.125,0.0,2.0,0.125,30,6
(1  13),0.0,0.0,2.0,0.0,25,7
(1  14),0.125,0.0,2.0,0.125,25,7
(1  15),0.0,0.0,2.0,0.0,25,7
(2  0),8.517699,0.01,2.0,8.517699,30,6
(2  1),8.642699,0.01,2.0,8.642699,25,7
(2  3),0.125,0.0,2.0,0.125,15,11
(2  4),0.0,0.0,2.0,0.0,10,16
(2  5),0.125,0.0,2.0,0.125,5,33
(2  6),0.0,0.0,2.0,0.0,30,6
(2  7),0.125,0.0,2.0,0.125,30,6
(2  8),0.0,0.0,2.0,0.0,20,8
(2  9),0.125,0.0,2.0,0.125,25,7
(2  10),0.0,0.0,2.0,0.0,15,11
(2  11),0.125,0.0,2.0,0.125,25,7
(2  12),0.0,0.0,2.0,0.0,20,8
(2  13),0.125,0.0,2.0,0.125,5,33
(2  14),0.0,0.0,2.0,0.0,20,8
(2  15),0.125,0.0,2.0,0.125,20,9
(3  0),8.392699,0.01,2.0,8.392699,30,6
(3  1),8.517699,0.01,2.0,8.517699,30,6
(3  2),8.392699,0.01,2.0,8.392699,15,11
(3  4),0.125,0.0,2.0,0.125,15,11
(3  5),0.0,0.0,2.0,0.0,15,11
