"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(0  1),0,0,2,0,35,2
(0  2),0.125,0,2,0.125,35,2
(0  3),0.1875,0,2,0.1875,35,2
(0  4),0.25,0,2,0.25,35,2
(0  5),0.3125,0,2,0.3125,35,2
(0  6),0.375,0,2,0.375,35,2
(0  7),0.4375,0,2,0.4375,35,2
(0  8),0.5,0,2,0.5,35,2
(0  9),0.5625,0,2,0.5625,35,2
(0  10),0.625,0,2,0.625,35,2
(0  11),0.6875,0,2,0.6875,35,2
(0  12),0.75,0,2,0.75,35,2
(0  13),0.8125,0,2,0.8125,35,2
(0  14),0.875,0,2,0.875,35,2
(0  15),0.9375,0,2,0.9375,35,2
(1  0),0,0.025,2,0,35,2
(1  2),0.0625,0,2,0.0625,35,2
(1  3),0.125,0,2,0.125,35,2
(1  4),0.1875,0,2,0.1875,35,2
(1  5),0.25,0,2,0.25,35,2
(1  6),0.3125,0,2,0.3125,35,2
(1  7),0.375,0,2,0.375,35,2
(1  8),0.4375,0,2,0.4375,35,2
(1  9),0.5,0,2,0.5,35,2
(1  10),0.5625,0,2,0.5625,35,2
(1  11),0.625,0,2,0.625,35,2
(1  12),0.6875,0,2,0.6875,35,2
(1  13),0.75,0,2,0.75,35,2
(1  14),0.8125,0,2,0.8125,35,2
(1  15),0.875,0,2,0.875,35,2
(2  0),8.517699,0.025,2,8.517699,15,3
(2  1),8.642699,0.025,2,8.642699,15,3
(2  3),0,0,2,0,35,2
(2  4),0.125,0,2,0.125,35,2
(2  5),0.1875,0,2,0.1875,35,2
(2  6),0.25,0,2,0.25,35,2
(2  7),0.3125,0,2,0.3125,35,2
(2  8),0.375,0,2,0.375,35,2
(2  9),0.4375,0,2,0.4375,35,2
(2  10),0.5,0,2,0.5,35,2
(2  11),0.5625,0,2,0.5625,35,2
(2  12),0.625,0,2,0.625,35,2
(2  13),0.6875,0,2,0.6875,35,2
(2  14),0.75,0,2,0.75,35,2
(2  15),0.8125,0,2,0.8125,35,2
(3  0),8.392699,0.025,2,8.392699,5,9
(3  1),8.517699,0.025,2,8.517699,15,3
(3  2),0,0.025,2,0,35,2
(3  4),0.0625,0,2,0.0625,35,2
(3  5),0.125,0,2,0.125,35,2
(3  6),0.1875,0,2,0.1875,35,2
(3  7),0.25,0,2,0.25,35,2
(3  8),0.3125,0,2,0.3125,35,2
(3  9),0.375,0,2,0.375,35,2
(3  10),0.4375,0,2,0.4375,35,2
(3  11),0.5,0,2,0.5,35,2
(3  12),0.5625,0,2,0.5625,35,2
(3  13),0.625,0,2,0.625,35,2
(3  14),0.6875,0,2,0.6875,35,2
(3  15),0.75,0,2,0.75,35,2
(4  0),8.517699,0.025,2,8.517699,15,3
(4  1),8.642699,0.025,2,8.642699,15,3
(4  2),8.517699,0.025,2,8.517699,15,3
(4  3),8.642699,0.025,2,8.642699,15,3
(4  5),0,0,2,0,35,2
(4  6),0.125,0,2,0.125,35,2
(4  7),0.1875,0,2,0.1875,35,2
(4  8),0.25,0,2,0.25,35,2
(4  9),0.3125,0,2,0.3125,35,2
(4  10),0.375,0,2,0.375,35,2
(4  11),0.4375,0,2,0.4375,35,2
(4  12),0.5,0,2,0.5,35,2
(4  13),0.5625,0,2,0.5625,35,2
(4  14),0.625,0,2,0.625,35,2
(4  15),0.6875,0,2,0.6875,35,2
(5  0),8.392699,0.025,2,8.392699,5,9
(5  1),8.517699,0.025,2,8.517699,15,3
(5  2),8.392699,0.025,2,8.392699,5,9
(5  3),8.517699,0.025,2,8.517699,15,3
(5  4),0,0.025,2,0,35,2
(5  6),0.0625,0,2,0.0625,35,2
(5  7),0.125,0,2,0.125,35,2
(5  8),0.1875,0,2,0.1875,35,2
(5  9),0.25,0,2,0.25,35,2
(5  10),0.3125,0,2,0.3125,35,2
(5  11),0.375,0,2,0.375,35,2
(5  12),0.4375,0,2,0.4375,35,2
(5  13),0.5,0,2,0.5,35,2
(5  14),0.5625,0,2,0.5625,35,2
(5  15),0.625,0,2,0.625,35,2
(6  0),8.517699,0.025,2,8.517699,15,3
(6  1),8.642699,0.025,2,8.642699,15,3
(6  2),8.517699,0.025,2,8.517699,15,3
(6  3),8.642699,0.025,2,8.642699,15,3
(6  4),8.517699,0.025,2,8.517699,15,3
(6  5),8.642699,0.025,2,8.642699,15,3
(6  7),0,0,2,0,35,2
(6  8),0.125,0,2,0.125,35,2
(6  9),0.1875,0,2,0.1875,35,2
(6  10),0.25,0,2,0.25,35,2
(6  11),0.3125,0,2,0.3125,35,2
(6  12),0.375,0,2,0.375,35,2
(6  13),0.4375,0,2,0.4375,35,2
(6  14),0.5,0,2,0.5,35,2
(6  15),0.5625,0,2,0.5625,35,2
(7  0),8.392699,0.025,2,8.392699,5,9
(7  1),8.517699,0.025,2,8.517699,15,3
(7  2),8.392699,0.025,2,8.392699,5,9
(7  3),8.517699,0.025,2,8.517699,15,3
(7  4),8.392699,0.025,2,8.392699,5,9
(7  5),8.517699,0.025,2,8.517699,15,3
(7  6),0,0.025,2,0,35,2
(7  8),0.0625,0,2,0.0625,35,2
(7  9),0.125,0,2,0.125,35,2
(7  10),0.1875,0,2,0.1875,35,2
(7  11),0.25,0,2,0.25,35,2
(7  12),0.3125,0,2,0.3125,35,2
(7  13),0.375,0,2,0.375,35,2
(7  14),0.4375,0,2,0.4375,35,2
(7  15),0.5,0,2,0.5,35,2
(8  0),8.517699,0.025,2,8.517699,15,3
(8  1),8.642699,0.025,2,8.642699,15,3
(8  2),8.517699,0.025,2,8.517699,15,3
(8  3),8.642699,0.025,2,8.642699,15,3
(8  4),8.517699,0.025,2,8.517699,15,3
(8  5),8.642699,0.025,2,8.642699,15,3
(8  6),8.517699,0.025,2,8.517699,15,3
(8  7),8.642699,0.025,2,8.642699,15,3
(8  9),0,0,2,0,35,2
(8  10),0.125,0,2,0.125,35,2
(8  11),0.1875,0,2,0.1875,35,2
(8  12),0.25,0,2,0.25,35,2
(8  13),0.3125,0,2,0.3125,35,2
(8  14),0.375,0,2,0.375,35,2
(8  15),0.4375,0,2,0.4375,35,2
(9  0),8.392699,0.025,2,8.392699,5,9
(9  1),8.517699,0.025,2,8.517699,15,3
(9  2),8.392699,0.025,2,8.392699,5,9
(9  3),8.517699,0.025,2,8.517699,15,3
(9  4),8.392699,0.025,2,8.392699,5,9
(9  5),8.517699,0.025,2,8.517699,15,3
(9  6),8.392699,0.025,2,8.392699,5,9
(9  7),8.517699,0.025,2,8.517699,15,3
(9  8),0,0.025,2,0,35,2
(9  10),0.0625,0,2,0.0625,35,2
(9  11),0.125,0,2,0.125,35,2
